x1,; x2,; x3,; x4,; x5,; x6,; x7,; x8,; x9,; x10,; x11,; x12,; x13,; x14,; x15,; x16,; x17,; x18,; x19,; x20,; x21,; x22,; x23,; x24,; x25,; x26,; x27,; x28,; x29,; x30,; x31,; x32,; x33,; x34,; x35,; x36,; x37,; x38,; x39,; x40,; x41,; x42,; x43,; x44,; x45,; x46,; x47,; x48,; x49,; x50,; x51,; x52,; x53,; x54,; x55,; x56,; x57,; x58,; x59,; x60,; x61,; x62,; x63,; x64,; x65,; x66,; x67,; x68,; x69,; x70,; x71,; x72,; x73,; x74,; x75,; x76,; x77,; x78,; x79,; x80,; x81,; x82,; x83,; x84,; x85,; x86,; x87,; x88,; x89,; x90,; x91,; x92,; x93,; x94,; x95,; x96,; x97,; x98,; x99,; x100,; x101,; x102,; x103,; x104,; x105,; x106,; x107,; x108,; x109,; x110,; x111,; x112,; x113,; x114,; x115,; x116,; x117,; x118,; x119,; x120,; y,; 
1,10045;1,10049;1,10056;1,10053;1,1003;1,10028;1,09943;1,09975;1,09993;1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09634; 
 1,10049;1,10056;1,10053;1,1003;1,10028;1,09943;1,09975;1,09993;1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09707;1,09649; 
 1,10056;1,10053;1,1003;1,10028;1,09943;1,09975;1,09993;1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09707;1,09699;1,09698; 
 1,10053;1,1003;1,10028;1,09943;1,09975;1,09993;1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09707;1,09699;1,09695;1,0971; 
 1,1003;1,10028;1,09943;1,09975;1,09993;1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09707;1,09699;1,09695;1,09667;1,09705; 
 1,10028;1,09943;1,09975;1,09993;1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09707;1,09699;1,09695;1,09667;1,09573;1,09716; 
 1,09943;1,09975;1,09993;1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09707;1,09699;1,09695;1,09667;1,09573;1,09667;1,09703; 
 1,09975;1,09993;1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09707;1,09699;1,09695;1,09667;1,09573;1,09667;1,09659;1,09705; 
 1,09993;1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09707;1,09699;1,09695;1,09667;1,09573;1,09667;1,09659;1,0965;1,09695; 
 1,09998;1,10003;1,09993;1,09983;1,09987;1,09987;1,09985;1,0998;1,09973;1,09967;1,09938;1,09902;1,09907;1,09872;1,09873;1,0987;1,09865;1,0986;1,09878;1,09903;1,09884;1,09897;1,09897;1,09895;1,09897;1,099;1,09892;1,09881;1,09888;1,09893;1,09898;1,09887;1,09889;1,09891;1,09892;1,09892;1,09903;1,09912;1,09914;1,09917;1,09934;1,09926;1,09934;1,09935;1,09922;1,09942;1,09946;1,09951;1,09945;1,09927;1,09923;1,09937;1,09936;1,09926;1,09917;1,09918;1,09908;1,09913;1,09895;1,09902;1,09899;1,09888;1,09887;1,09902;1,09914;1,09906;1,09905;1,09907;1,09907;1,09892;1,09887;1,09882;1,09875;1,09867;1,09866;1,09875;1,09867;1,09855;1,09855;1,09851;1,09843;1,09843;1,09843;1,09846;1,09833;1,09832;1,09826;1,09801;1,09802;1,09812;1,09807;1,09791;1,09797;1,09772;1,09757;1,09715;1,09682;1,09674;1,09682;1,09681;1,09653;1,09639;1,09646;1,09663;1,09663;1,09678;1,09688;1,09693;1,09705;1,09695;1,09694;1,09707;1,09699;1,09695;1,09667;1,09573;1,09667;1,09659;1,0965;1,09637;1,09689; 
